meeting_id,speaker_id,begin_time,text,end_time
ES2004c,FEE013,823.7000122070312,WHERE AM I,826.7000122070312
ES2004c,MEE014,1279.4000244140625,WITH THE L. C. D. YOU'D ONLY HAVE THAT WITH THE PRINTED CIRCUIT BOARD,1282.4000244140625
ES2004c,FEE016,2082.300048828125,I'M JUST KIND OF PUSHING AT THAT TO SEE IF YOU CAME OUT WITH ANYTHING ELSE BUT I MEAN I TOTALLY AGREE,2085.300048828125
ES2004c,FEE013,1792.030029296875,I'M NOT SURE HOW LONG WE'VE GOT LEFT BUT WE NEED TO MAKE A DECISION ABOUT UM,1795.030029296875
ES2004c,FEE016,1413.280029296875,I'LL JUST RAISE ANOTHER POINT WHILE IT OCCURS TO ME IT KIND OF APPLIES TO BOTH OUR DESIGNERS HERE SO I'M NOT SURE HOW IT WOULD FIT IN,1416.280029296875
ES2004c,MEE014,571.72998046875,BUT,574.72998046875
ES2004c,FEE013,1427.9200439453125,NO,1430.9200439453125
ES2004c,MEE014,832.6300048828125,YEAH,835.6300048828125
ES2004c,MEE014,952.1099853515625,IF YOU IF YOU WANTED TO BUT UM THE THERE IS AN OPTION TO DO TO DO IT LIKE THAT OR YOU COULD HAVE SOME SORT OF,955.1099853515625
ES2004c,FEE013,801.8900146484375,OKAY CAN WE ADD IN UH AN ATTACHMENT TO CLOSING FEATURE,804.8900146484375
ES2004c,MEE014,1708.3800048828125,YEAH,1711.3800048828125
ES2004c,MEO015,1542.9200439453125,REST OTHER BUTTONS THEY ARE IN A VERY DISORGANIZED AND THEY ARE NOT CONSISTENT TH WITH OTHER MODELS AND ALL,1545.9200439453125
ES2004c,MEO015,2201.360107421875,FOR L YEAH THE WHISTLE,2204.360107421875
ES2004c,FEE013,650.1400146484375,IF YOU'D I MEAN YOU SWITCH THE T. V. ON THEN YOU PUT IT ON THE SIDE,653.1400146484375
ES2004c,FEE016,1178.5400390625,MM,1181.5400390625
ES2004c,MEO015,89.18000030517578,MM-HMM,92.18000030517578
ES2004c,MEO015,2130.840087890625,AND FINALLY THE BODY SHOULD BE RETOUCHABLE MAY MAYBE CH YOU CAN CHANGE THE BODY OR THE CASE CASING THE CASE OUTSIDE,2133.840087890625
ES2004c,MEO015,1492.3699951171875,FIRST THING IS UH BASICALLY ON DESIGN WE JUST TOOK THE INPUT FROM THE PREVIOUS MEETING,1495.3699951171875
ES2004c,MEE014,1819.9100341796875,MM,1822.9100341796875
ES2004c,MEO015,1658.6300048828125,REPETITION OF CERTAIN BUT BUTTONS WHICH I ALREADY EXPLAINED EXAMPLE THE VOLUME AND CHANNEL CONTROL BUTTONS,1661.6300048828125
ES2004c,MEO015,1353.280029296875,IF HE WOULD A PERSON WHO SWITCHES CHANNELS VERY OFTEN OR DOES USE A PARTICULAR FUNCTION VERY OFTEN WILL FIND IT VERY IRRITATING TO USE A AND HE MIGHT SPOIL THE TOUCH PAD VERY FAST COMPARED TO A BUTTON LIKE,1356.280029296875
ES2004c,FEE016,864.8400268554688,WHEN WE THREW IT OPEN TO THE FIELD YEAH,867.8400268554688
ES2004c,FEE013,122.9800033569336,THE MINUTES FROM THE LAST TIME,125.9800033569336
ES2004c,MEE014,1290.800048828125,YEAH,1293.800048828125
ES2004c,FEE013,120.4000015258789,UM,123.4000015258789
ES2004c,MEE014,1950.0400390625,ON THE BOTTOM WE WERE GONNA HAVE THE RUBBER THE RUBBER ONES THE ANTI R. S. I. ONES,1953.0400390625
ES2004c,FEE016,539.1599731445312,HAS TO BE SOLAR,542.1599731445312
ES2004c,MEE014,811.75,YEAH,814.75
ES2004c,MEO015,2222.60009765625,UH SORRY I DIDN'T MENTION THIS BUT WE'LL BE INCORPORATING IN THE DESIGN,2225.60009765625
ES2004c,FEE013,854.1199951171875,THE ETERNAL BATTLE FOR CONTROL OF THE CONTROLS,857.1199951171875
ES2004c,MEE014,749.9000244140625,Y I THINK YEAH PRACTICALLY,752.9000244140625
ES2004c,MEO015,1489.97998046875,WOULD LIKE TO SHARE SOMETHING WHICH I DID HERE,1492.97998046875
ES2004c,FEE016,2226.56005859375,'CAUSE I TOOK IT FROM THE FEEDBACK YOU GAVE IN THE LAST MEETING FROM Y FROM Y YOUR REPORT,2229.56005859375
ES2004c,MEE014,1292.6400146484375,YOU COULD HAVE A FLAT SCREEN INSIDE YEAH BUT I'M JUST WONDERING WHETHER WE WANT AN L. C. D. SCREEN INSIDE,1295.6400146484375
ES2004c,FEE013,1527.27001953125,MM,1530.27001953125
ES2004c,FEE013,1801.0699462890625,THE THINGS WE'VE DISCUSSED,1804.0699462890625
ES2004c,FEE013,595.4000244140625,YEAH I'VE SEEN,598.4000244140625
ES2004c,FEE013,1202.800048828125,MM-HMM,1205.800048828125
ES2004c,MEO015,1691.25,SO IT COULD BE LIKE WHERE IS THE REMOTE AND THE REMOTE ANSWERS I AM HERE,1694.25
ES2004c,FEE013,1644.4200439453125,SO HAVE THE UM THE VOLUME AND THE PROGRAMME THINGS LIKE THAT ON THE LOWER SIDE,1647.4200439453125
ES2004c,FEE013,52.38999938964844,PUT IT ON IN THAT WAY,55.38999938964844
ES2004c,MEO015,1502.9000244140625,SECOND IS WE CHECKED INTO COMPETITORS THE PICTURE HERE SHOWS ONE OF THE STANDARD MODELS OFFERED BY COMPETITORS HERE,1505.9000244140625
ES2004c,MEO015,767.239990234375,ANOTHER QUESTION IS LIKE SORRY,770.239990234375
ES2004c,FEE013,1757.449951171875,I CAN'T SEE THAT IS THAT PLAY AND STOP AND THINGS,1760.449951171875
ES2004c,MEE014,1156.719970703125,YEAH YEAH,1159.719970703125
ES2004c,MEE014,2247.830078125,YEAH,2250.830078125
ES2004c,MEE014,895.5,IT'LL CONNECT THE CIRCUIT AND EACH EACH SWITCH IS CONNECTED TO TWO UH DIFFERENT LEGS ON THE CHIP AND SO SENDS A DIFFERENT MESSAGE AND THAT THEN UH GETS TRANSLATED BY THE CHIP INTO A CODE AND THEN IT'S FIRED OUT OF THIS L. E. D. IN THE SEQUENCE OF L ON AND OFF BURSTS,898.5
ES2004c,FEE016,1632.4300537109375,YOU'VE GOT YOUR L. C. D. DISPLAY THERE AND YOU'VE GOT THE BUTTONS THERE SO YOU'RE HOLDING IT IN THE PALM OF YOUR HAND YEAH,1635.4300537109375
ES2004c,MEO015,54.22999954223633,OOPS,57.22999954223633
ES2004c,MEE014,1051.8800048828125,BUT I WAS THINKING MORE OF THE BUTTONS BECAUSE THE BUTTONS WHICH THEY'VE THEY'VE SAID,1054.8800048828125
ES2004c,MEO015,1349.8900146484375,ABSOLUTELY F FOR SOMEBODY WHO VERY OFTEN,1352.8900146484375
ES2004c,FEE013,249.4600067138672,IT'S OKAY,252.4600067138672
ES2004c,FEE016,1478.469970703125,MM,1481.469970703125
ES2004c,FEE016,2264.320068359375,I THINK THAT WAS YOU TALKED ABOUT A BEEPER FOR A LOCATION HAVE WE JUST REJECTED THAT IN FAVOUR OF VOICE RECOGNITION THEN,2267.320068359375
ES2004c,MEE014,524.1199951171875,LIKE THE THE SOLAR CHARGING 'CAUSE MOST PEOPLE HAVE THE LIGHT ON IN THE ROOM ANYWAY SO THEY COULD GET WHEN WHEN YOU GOT T. V.,527.1199951171875
